知乎作者,作者id,回答时间,赞同数,底下评论数,回答内容
小小星,7816808e647842bb1a917d0f09bf0198,2021-08-11 20:48:04,6,0,搞不明白为什么这么多人指出人家在沟通语句和态度上的错误，教人家怎么说话，说句扎心的话，在这里教别人怎么与人沟通的这些人在现实生活中遇到事情根本不敢发声，什么话都不敢说。不管是不是炒作，我都羡慕有这样的勇气站出来表达自己的态度，如果我们的大学生我们的青年都没有这个热血和激情，还能指望一群被生活压迫的中年人来说句话么。
匿名用户,0,2021-08-11 20:38:59,6,1,看了一圈回答发现对错不论，大家都挺有等级观念的。话里话外透着，低层人没有资格和高层人对话的虚假优越因为左脚迈入大门而被开除？有病治病，没病辞退？有趣的抖机灵，而作为一个打工人，我只觉得无耐和无力
「已注销」,cd53c77fac20068823f045dbf5776d53,2021-08-11 10:47:41,7,0,人跪久了就不会站起来了虽然是营销，但还是让一众久跪者惊诧不已
知乎用户,0f7ac009be6c50cf9a974597b9e3c00f,2021-08-10 20:45:42,7,1,在后实习生面前，互联网大厂老板也不得不卑微。企业微信的已读提示，如果不回复怕是下一秒这个实习生就要截图发微博发朋友圈，到时就是危机了。
匿名用户,0,2021-08-11 12:29:13,10,19,是我们学校的学弟，网上沸沸扬扬说营销啥的，我觉得大可不必如果你们知道我们学校的学生干过啥就会觉得他这么做没啥大不了的学校要改校名联合家长写联名信抵制改选课机制上百上千的学生家长写联名抵制，呼吁大家联名抵制的那个推送阅读量上万以上是截取的一部分所以，这样的学校出来的学生，勇一点也可以理解吧一直以来，我们都是鼓励勇敢发声，独立自主，自由思考，所以，他不是哗众取宠，也不是要营销据朋友说，这个学弟已经很自闭了他只是作为一个年轻人，在这个资本当道，大家被洗脑被压迫被内卷的时候，愿意勇敢站出来说话的人而已。他家境良好，学校风气相对自由，所以还保留着一丝热血诚然，整个事件里，他有很多不太合适的言论与行为，但是作为学姐，作为即将踏入社会的社畜，我希望他不要因此改变自己，也希望社会上有越来越多的年轻人，敢于发声，敢于表达，敢于抒发自己仿冒一下六个感叹号我们学校的朋友都蛮挺他，但是微博和知乎里的某些评论，真的证明了生物的多样性附加一段话唯一庆幸的是，他还是一个学生，还在实习，家境还不错。可能二三十年之后，他父母退休他也有了自己的家庭，他需要负担起孩子的开销和家庭的开支，重担压在他身上，公司想要裁员，而他不能失去这个工作不能承担哪怕一丁点的风险，他选择隐忍，选择退缩，选择闭嘴。我唯一庆幸的是，现在他还年轻，有的是时间给他去闯去发声，家境不错，不需要为自己的生计担忧，因此他能站出来。真诚的希望，各种营销号各种博主不要在吸血了他家庭确实不错，但是也不像你们说的那么夸张，跟风造梗造谣要适度
陈爱喝柚子茶,cf1e1cec7cdda3d6c15dfd9dd7d29aeb,2021-08-12 15:53:33,5,4,先说结论：某实习生同学被各大厂拉黑，只能含泪回家继承大业。在企业看来，他这不过是一次“精神病”式自我营销什么叫“精神病”式自我营销，曾经有听过一个华为的故事几年前的华为就有一个刚来半年的一个员工给任正非上了一封万言书，提出一些关于公司发展战略的建议，这个新员工是北大的高材生，他原以为这封万言书一送上去就能得到任正非的肯定和赞扬，但是没想到结果却出乎他的意料。任正非看了他这封万言书后，直接批复此人如果有精神病，建议送医院进行治疗；如果没病，建议立即辞退。“精神病”式自我营销的问题主要有两点一是较低的信息密度，二是没有方案或脱离实际的方案信息密度从企业的角度来说，领导的工作量普遍低于基层员工，但是领导的工作价值（决策价值）明显高于基层员工数倍。因此，在进行工作汇报方案介绍这类，目标是对客户、对上级的汇报中，最短时间传递最多信息者为佳。麦肯锡著名的“秒电梯理论”就是信息密度极高的沟通方式。而反观华为万字书也好、腾讯实习生也好，信息密度相对较低。提高信息密度的方式：卖钻讲孔：卖钻头，要给客户讲孔的形状。重点体现能给客户企业多大效益避免“空姐现象”：空姐每次起飞前会说：亲爱的旅客朋友们，欢迎来到航。当您进入客舱后，请留意行李架边缘的座位号码对号入座。您的手提物品可以放在行李架内或座椅下方。请保持过道及紧急出口通畅。如果有需要帮助的旅客，我们很乐意协助您。南方航空愿伴您度过一个温馨愉快的空中之旅。谢谢我们的飞机很快就要起飞了，请您配合客舱乘务员的安全检查，系好安全带，收起小桌板，调直座椅靠背，靠窗边的旅客请您协助将遮光板拉开。有个美女有着迷人的笑容，得体的衣着，职业的妆容，声音温柔又甜美，讲说的内容和你息息相关，可是当她讲说的时候你却根本不听。所以：不要说听众已知的；不要重复说同样的；不要单纯背诵准备的。有人认为办公室、秘书、人事、党群之类的部门，每天无所事事，工作量低下，却能获得领导的认可。凭什么？其实他们的工作就是提高领导的信息密度。如果不能提高自己的信息密度，那就按照既有的流程逐级反馈。（如果有些重要、紧急问题被掩盖在基层，属于公司文化和制度问题，不做讨论）没有方案或脱离实际的方案腾讯实习生的发言，明显缺乏明显方案华为万言书的内容，根据任总的回复，是对公司战略指手画脚，缺乏明显方案。“编拟一个联名书，让我司员工为此发声”这句话是领导对下级提出的要求，而不是下级对上级的汇报。刘炽平的回复就非常灵性，维持了基本的礼貌，同时表明了：我才是领导。如果不如此回复，这一次实习生的事情将会变成模板，未来将会出现更多“员工把方向，领导出方案”行为。腾讯将会掀起一股下克上的文化。以上两点，都是腾讯公司不会留他的理由，也是其他大厂难以再接受他的理由。说句题外话，世纪了，还有人用这种“精神病”式自我营销，吃人血馒头，人渣。
小小肆,3807996d460163bd06c4757d2d35671d,2021-08-11 20:40:51,5,1,觉得挺有意思的，人家是富二代，并不一定缺少这份工作，说句夸大点的话，是为了没有发言权的平凡人在争取权利，但是很有一部分人跪久了起不来，觉得人家狂妄自大，如果可以颁布这样的条令，甚至做了推广，是否会有效避免女性受到伤害，男性过多酗酒呢？，身在一个实习生职位，不可否认，措辞并不太合适，这点确实不太合适，但是没本事没背景恃才傲物或者愣头青的大有人在，和大多数人相反，我觉得他发了这条讯息，可能更快的进入小马哥视野，反而不一定会离职，无非是以后表现的要更努力一些而已。，甚至想的有点多的地步，做了这样的举动，是否会带来名气，吸引人到自己家公司应聘哈哈哈哈哈
苏伦,e56976c4fc8411ec04e7fa1e275fadbd,2021-08-11 20:06:47,5,0,昨晚就在微信群看到了这组聊天记录，没想到今天还上了热搜。根据个人经验，如果一件事是一边倒的支持或反对，势必不会有如此大的热度。对于这位同学的行为，确实既有批评讥讽的，也有支持鼓舞的，其间又存在代际的微妙划分，年龄小一些的，一般支持者居多；年龄大一些的，则多会对“越级上报”、“务必回复”以及滥用感叹号等行为加以吐槽。而后，围绕这位实习生，不少网友又顺藤摸瓜，发现他是某医药公司副总裁的儿子等等线索，也丰富了事件的讨论维度。说句实话，我很羡慕。小同学年纪不大，我羡慕他拥有在这个年纪应有的勇气，敢于跨越层级陈情的莽撞，以及对自身观点的确信与勇敢表达。即便把他的身份考虑进来，或者如一些网友所质疑的，其动机很可疑，以及把企业微信的记录截图外泄有悖规则。但这些具体化的因素，仍然不能掩盖他的社会责任感和行为本身的正义性。谁不曾莽撞过呢？那些指责他的人，想必年轻时都有过一腔热血的阶段，也有过一段满溢少年心气、敢于自我表达的时期，或许也都做过愤青和键盘侠，抒发不满，指点江山。哪怕现在看来会觉得有一些中二，但并不后悔，甚至还会怀念那股冲动。人作为物种的复杂性就在于既能不断成长，但又能驻足反思过往。站在此时此刻的具体语境中回望彼时彼刻，也必然会以此时此刻的眼界、阅历、视野对过去进行审视。这本是物种优势，但当这种审判目光脱离自身，在纵时性维度上延伸并加诸年轻人的当下行为之上，未免显得有些太过苛责。是啊，你在社会中浸淫这么多年，你知道了层级之差别，人心之险恶，你知道了等级秩序有多重要，越级陈情有多不应该，肆意表达自身观点有多危险。你知道了忤逆这些规则的惩罚和代价是什么，后果有多严重。然后呢，虽然能实现自身逻辑自洽，但凭什么要把这套体系强加在一个年轻人身上，罔顾他的正义感，嘲讽他的行为，打压他的热情，只因他做了你不敢做的事情？只因你知道后果有多严重？每个人都处于特定政治经济体系所编织的身份之网中，谁也无法跳出形塑自身的框架去反噬自身。过往的一切塑造，都会演化成认知局限和道德自觉，也最终会成为一个人衡量好坏对错的标准。但存在不一定就是合理，人虽然无法避免身份的局限性和固有知识结构，但应该意识到这种局限存在，而不是将它作为评价他人行为的统一尺度，何况每个人境况不同，心态也不同。假设每个人都能理解，为什么不能以自身立场衡量他人行为，中文互联网将会变得更美好
匿名用户,0,2021-08-11 11:27:55,5,1,现实里我唯唯诺诺，网上我重拳出击，有人起来反抗我冷嘲热讽。社畜们本来就势单力薄，有背景的年轻人出来发声本来是好事，好家伙，一顿老社畜们端起老派的架子，“你怎么怎么样做的不对”被剥削的变成绵羊后，不以为耻，反以为荣。以后有钱的资本家教育自己的孩子就会拿这个例子：“不要可怜他们，他们就是贱命，生来就是奴隶，生来就得被你骑在胯下”。都举“瑞典小女孩”的例子，难道她的存在对相关污染企业不是个约束吗？
匿名用户,0,2021-08-11 09:38:07,5,0,看的我一波三折。一开始以为是普通实习生，心想，当代年轻人真牛敢说敢做反对职场性骚扰，没毛病反过头又想，这样的末，以后怎么管？要不要管？实习生直接以命令式口吻对话，这样的实习生哪个单位敢要？再一想，风气就是这么形成的，说不定真能做到职场平等，职位不分高低，观点对就行。就在我思忖的过程中，发现评论区亮了。哪有什么普通实习生，百亿级药企高管的富二代儿子罢了，以后就业完全不用愁。从小吃香喝辣，保姆阿姨环伺，一路高昂学费的私立，国外花几十万拿个文凭，顶尖大厂实习，最后接个班。普通年轻人躺平，他躺赢；得罪鹅肠领导也没事，毕竟有个好呆迪，控制的企业是鹅肠未来的大客户；去大厂做个体验，扬个名，接下来是逍遥人生。正义感来自地主家肥头大耳的胖儿子，总觉得味道不对。但不管怎么说，这个“实习生”的建议，还是好的。
匿名用户,0,2021-08-11 12:58:07,7,0,让他营销，只要能把阿里鞭尸就行有些人跪久了那副奴才样，人家就是有这个资本，不稀罕这份工作而已，蹭热度又怎样，只要能让阿里的丑闻重新摆在台面上，身败名裂又如何，被人当作愣头青又如何？难道员工在公司里就是得做个奴才吗？难道企业的制度只能为企业主服务而制定吗？私营企业得想好，当初是谁让利让你私营的？制定完善相关的条令，蹭了这个热度又如何？这事只会让那些趋炎附势，搞权钱交易，职场潜规则的人寸步难行。谁反对，谁赞成，显而易见屁股在哪，以前做过这些勾当指不定。所以说，让他蹭这个热度，只要能把阿里里里外外鞭一顿，就是人民群众喜闻乐见的。另外，现实生活中，越来越多的后，后步入职场，勇敢说不，业务就是业务，人权就是人权，拎得非常清，新生代的职业不需要的职场糟粕文化，这些年代的职场员工，继承了老一辈的糟粕，他们真正的能力没有，有的就是溜须拍马，酒桌打荤，他们怕这种规则被破坏，他们怕以后的营生被年轻人废止。他们就是占着茅坑不拉屎的人。大家不妨反思一下，现实中遇到的新一代职场新人，哪个会忍受老板的无理要求？还不是分分钟辞掉老板，说话硬气怎么了？感叹号多怎么了，要的就是让老板难看，一堆人在那说人家营销，大家认为他做的对才是营销成功，大家觉得他是，那他的营销就是失败的，大家看到的是很多人在抨击他，那他在这些人中是营销失败的。为什么大家会跳出来对他恶语相向呢？因为他没有遵守职场的潜规则，因为他没有做奴才，因为他人格上是独立的，不遵守前几代人的奴才规矩。奴才作风，这是官僚主义，官僚主义是什么，可想而知，这种风气在哪儿最盛，职场中，高校中，而很多高校教师创业发展到如今的公司是把这种作风贯彻实行到极致的，马云先生就是其中一个。我跳槽比较多，各种公司都待过，凡是高校出身，都是这种作风，不接受反驳，这是根，还说人家是学生会主席的口气，中国的高校，学生会主席见了领导，跟孙子没有两样，反腐以后的重点是高校，政商圈子基本都是校友圈懂得都懂，这说明我们的三座大山没有彻底推翻。另外评论里那些趾高气昂说人家不懂规矩的，怕是也经常潜规则下属或者乐意被上司潜规则吧，没有能力的人才会这样，没有生存能力，指着一份工作做到老，怕是连转行的勇气都没有吧，能转行的也怕是靠关系转行，继而在其他行业不懂装懂的吧，这种人见的太多了你去问问现在年轻人打几份工，会多少技能，就算得罪你也不怕饿死，而这些占着茅坑不拉屎的人就不行了，离了插科打诨，趋炎附势，他会饿死。回到以前，你们也会觉得毛润之写的东西不知天高地厚，当年是多少愣头青不怕丢人，不怕死，解放了你我。有些人的论调，放在以前，就是汉奸的言论。生怕触及自己的利益。所以说，让他营销怎么了？只要能解放阿里的女员工，只要能让阿里鞭尸，只要能让这种陋习消失，让他得利就行。谁要犯错，就鞭谁，他家要是也做财阀那一套，照样鞭。谁站在人民这边就支持谁，谁和人民反着来，就干翻谁。
北海皆非,10d5fe2323bbb17d324208c46c22ba35,2021-08-11 15:00:30,0,1,说一个故事吧。入职四年来，单位每年都会举办大学生座谈会，董事长亲自召开，会议主要是倾听年轻一代的个人职业规划、日常工作中遇到的疑问与困难以及对公司未来发展的见解或者建议。会议目的是为选取储备干部摸清情况，会议原则强调：有一说一，畅所欲言。入职第二年，轮到我参加。参会前，区带队领导嘱咐最多的一句话就是：该说的说，不该说的别说。那阵就很疑惑，什么是该说，什么是不该说，如何界定？我跟同行的新人兄弟相视一笑，叹气摇头。幸好，我不是第一个发言，可以看看大家怎样表现，果不其然，大家说的都不痛不痒，猜测应该是提前都被打好了预防针。轮到我，只能依样画葫芦，不能说痛点，只能着重阐述爽点，新人就是企业未来发展动力，这个会议的召开不仅让新员工感受到了企业氛围，了解了企业文化，更对未来有了信心（此处省略千字），回来后我还特意看了看我领导的反应，他对我微笑并竖起大拇指表示肯定。几人过后，轮到之前提到的兄弟登场，他的发言直戳公司目前发展痛点，详细列举出与竞争对手差距，以及公司弊病，并直言如果不彻底整改公司未来几年如何如何，业务量将下滑多少个百分点。并将他看到的不公不平之事摆在桌面。分钟的发言，主论点，论据，数据，层次清晰，结构严谨。我听后暗暗佩服，我对他竖起了大拇指。之后我又特意回头看了看我领导的反应，只见脸色铁青。五分钟之后他就弯腰跑出去接电话了。不用想也知道区分公司总经理直接问责，怎么选的人？会前是否叮嘱？为什么什么话都说？赏给我领导一套三连。那次会议后，没过多久，那位兄弟就被调入了基层，理由是还需多加历练。至今两年过去了，我都没有再见过他一面，是否还在职不得而知。而我陆续此类会议我大大小小参加了三次在我看来，那位兄弟准备充分，有理有据有力，但又过力。是人才，但也注定只能是个被埋没的人才刚看这篇提问第一反应就是觉得这是篇爽文，包括叹号连击以及务必回复，都让人拍手叫绝。让我不由得以为是董事长的公子哥。后来看了高赞扒出来男孩的家世就瞬间明白了为何底气十足，敢于拽式直谏。举动不仅热血沸腾，而且顺便来了个自我营销，让董事长印象深刻。但此举风险十足，未加训练者切勿轻易模仿。这种事还是看看就好，毕竟混职场，机会来之，仅有一次，还得谨慎拿捏。最后大家可以看一下之前我的回答，纯属个人经验，帮你避雷。觉得有用的可以点个关注，以后继续为大家分享职场的所见所闻。职场中，什么样的人会被领导偏爱？
纠结矛盾的方先生,62f4cc072470b6ddf1ece17eedbda82b,2021-08-11 23:27:06,4,1,有些事，我们太年轻时，或者处于职场基层的时候，其实是无法察觉，或者只看了表面，并不会有太深刻和真切的感受。酒局代表不了什么，它不过是舞台，一个检验你是不是资本家自己人（严谨点也不见得是自己人，自家犬也不是不可以，说不定人没把你当人）的场合。它背后的职场潜规则，资本世界的圈子、文化、价值观，才是更重要的。没什么文化，讲不出深刻的道理，只能从自身经验，通过几个故事，来聊聊这个问题：人到中年，在职场上慢慢开始往中高层冲了。一直感觉冲的很费劲，很难受。很大程度上，是因为我反感圈子，反感酒局，不擅长应酬。社会财富顶层的大佬，咱没接触过。但亿万身价的老板饭局还是经常参与。最难受的还不是喝酒，最难受的是陪笑，因为经常说一些让你三观震碎一地的故事，全桌人笑着捧着，你一个人在那里莫名其妙，为了不太尴尬，只能跟着讪讪的笑着。有些事听多了，真会怀疑自己从小受到的教育是不是骗人的。比如，某教授（大家都称呼他博士）自己开了个公司，总经办里的几个女的，全是自己的情人。更离谱的是这四个女人，还一起住一间别墅里。真历史倒退，问题是饭桌上大家聊起这个话题，在场的无论男士还是女士竟然都夸这博士情商高，能搞定后宫，把几个情人处理的那么妥当。所以你现在再看明星出轨多人运动，还会觉得是新闻吗？人家权富阶层不以为耻，反以为荣。你以为说这种夸奖话的女士，也只是富人身边卖笑的花瓶吗？不是哦，人家可是某行行长。也就是她作为一个成功女性，即使内心不认可，在这个场合也会去追捧和夸奖一个玩弄女人的老色鬼。这样的饭局想要吃起来舒服，那得多厚的脸皮啊？还有一次一个某私立学校校长的饭局。席间聊的事当地名校的发展史，聊跟另一个名校校长交流的学校发现展心得。那时我才开始明白，现在老师素质良莠不齐，那是因为上梁不正下梁歪。这些为人师表的，并不一定都忧心于学生的成长。你以为听他们聊名校故事，会讲出什么师生互助，奋发图强，像《一个都不能少》那样的温情故事。但实际上她们嘴里的学生，就跟产品一样。产品就两样，好学生，坏学生。校长想把学校办好的途径竟然是尽量去抢好的产品，去初中把最优秀的产品搞来就行。这样你就是名校了，这就是他们聊的教育之道。那谁负责把那些差生，差的产品教育好呢？？？这不该是教育的真正意义吗？？？（哎，我真的太幼稚啦）最后，说一个跟阿里类似的故事。我之前一家公司离职的触动点故事。我进公司面试时，老板就问我：假如明天有一个两千万的项目要提报，你必须去，同时你家里还有很重要的事，比如你老婆生孩子。你怎么选？我说，我不会让这事发生，我能提前做好安排，把时间错开。他说这是突发的，你没得安排必须选。我说，我的团队不会除了我就没人能提报，那样我带团队就很失败了，我会找人代替我去做提。但我老婆生孩子，是没人可以替代丈夫的角色的。所以如果非要选，我还是会选择去陪老婆生孩子。他说那看来你属于享受型的（我当时就懵逼了下）我说，那到不是，我很热爱工作，平时我该加班还是会加班。特殊情况特殊对待，毕竟工作还是为了生活嘛。（社畜的求生欲）我得到后，其实还是犹豫了下要不要去这个公司。但我转念一想想他问这个问题，也不见得一定是希望我回答为工作放弃家人，可能只是考验我是否真诚。后来，事实证明我想多了，他内心就是觉得老婆生孩子没有万的项目提报重要。是这样的，一次老板在跟客户应酬，就让公司的客服主管（人漂亮）去作陪，那天是周末。女生接到电话时，正好在产房，她姐姐还是闺蜜什么的在生孩子。就回复今天来不了，他就很生气说，别人生孩子重要还是客户重要。那妹子平时也没少跟他一起接待客户，但那天还是直接怼回去了。当然是生孩子重要，然后就没去。后来她就被调岗了，让去做销售（等于逼你离职）这个姑娘最后离职了。你以为这算离谱的，不，后面还有。后面老板把这事在高管会里拿来当典型批评。顺便还提起一个旧事，当做正面典型来表扬：说公司的小，当初我让她来陪客户。她孩子才几个月，一样来了，老公抱着孩子在楼下车里等着。当初我就不喜欢这个小，这个故事一听更讨厌了。这个事跟马云讲他们公司的一个事类似：他说他当初跟客户谈生意，客户让他喝杯酒，就签合同。但他不会喝酒，结果他的女秘书挺身而出，为她挡酒。最后一口气罚三倍喝了杯酒，终于签下合同。据说马云经常提起这个故事，说白了就是用这个故事敲打身边的人，要学会签投名状。回到我这个故事，除了让我对这个小更多一丝鄙夷外，我更讨厌这故事里的两个男人，一个什么样的老板，会让哺乳的母亲来陪客户喝酒，一个什么样的丈夫会抱着孩子在酒店楼下等老婆去陪人喝酒。老板后来也没亏待这个小，投资了她老公的公司，搞了个类似要债公司的金融投资公司吧好像。最后，这事还没完。我离职的前三天，有一次突然跟小聊了次天。由于我这种三观太正，又独来独往的性格在公司中高管圈子里比较孤立吧，所以她跟我倾吐了一个事，一边说一边哭，原来上周末，她跟老板一切接待客户，她被客户猥亵了（她跟我说的就是亲了）。她的原话竟然是：老板竟然默许了客户亲她。我一方面表示同情和愤怒之余，另一方面我也替这个姑娘感到可悲。她已经完成自我驯化了，她生气的点竟然不是遭遇了职场性侵犯。而是在于老板默许，难道老板默许你就不能反抗了吗？在公司久了，这个女生已经被驯化成了家奴了吗？我听到这个事以后，立马催了下人事赶紧给我办离职手续。后来，那个女生好像还是提了下辞职，但最终却没有离开。其实这样的公司和老板见得不少，大公司小公司都是。比如我之前呆最久，差点都成为合伙人的公司。但一直跟二把手三观不合。因为这位大姐身上没有广告人的那股专业气，也没有打工人的职场气。不过到有点老板的土豪气，但更多的就一股市侩气质，所以老跟她和她的小圈子融不进去。她是置业顾问，卖房出身，应酬多。其实外在老帅挺乖的，平时看不出来，一说话就容易暴露，有次更客户瞎聊，客户素质底下就不说了，在哪里扯黄段子，光天化日之下聊，说夜总会叫小姐，小姐来例假了不出台。这女士竟然张口来了句，你往桌上放两万，她例假当场就没了。你你自己不是女人吗？？？更别说，还有很多小公司的小老板，那更是一个个人精。他们通常没什么真本事业务能力，就是所谓的“会来事”，他们也更欣赏“会来事”的人。所以，你业务能力强，专业能力突出，管理超棒，但你不会“来事”，不会“阴奉阳违”，你一样会在职场中败下阵来的。但他们会给你洗脑，会告诉你，这都是你的无能狂怒，你不够努力，所谓才得不到赏识，去多加班，多卖命，总有一天会升职加薪的。不仅如此，还有一群专门以给员工洗脑为营生的人。比如各种成功学，各种培训机构，各种知识付费。所以饭局文化不是本质，饭局文化只是一个检验你不会不会“来事”的场合。人到中年，在职场往上走，就会碰触但企业的核心圈，也会触碰到这个企业的核心价值观。（老板的价值观）我这几年跳槽平凡，这正是因为，我发现我跟好多人三观严重不合。在这样的企业，我没办法自我认同，也不会有啥成就感，有时候还会觉得自己在作恶，觉得自己和自己的圈层肮脏。这是做基层员工感受不到的。但谁会真的在意呢？在大众眼里，那些人是高尚的成功人士，我最后不过是一个粗鄙的穷屌丝罢了。最后，谈一下解决办法。无他：共产主义。我近几年才发现并开始对共产主义思想产生共鸣。这可能也是我一直融不进中高管圈子的原因。原来我本来就不属于资产阶级那个群体，大家的价值观，信仰都南辕北辙。不过，我的政治素养不高，也没做充分的学习，就是看了一些文章，才发现马毛等人的思想理论深刻且先进。至少我从小也是受这样的价值观成长的，只不过现在的社会整体风气偏了，资本为王，大行其道。我一个平民老百姓也难免会受到干扰产生困惑。也会分不清到底自己的一些决定是对是错。不过，人总得有点信仰和坚持，如果因为自己坚信的思想和价值观，让自己过的清贫点，也没啥大不了的。做一辈子无产者，也很光荣。
匿名用户,0,2021-08-11 21:12:43,4,0,无论这是不是营销，我都支持这个实习生的想法。因为作为一个队酒桌文化深恶痛绝的人，他做了我不敢做的事。感觉这问题下的这些回答都挺奇怪的。怎么这么多人都在嘲讽这实习生的措辞啊，难道反对酒桌文化不是好事吗？好多人对酒桌文化深恶痛绝，希望有人能打破现状。但是很少有带头反对的。好不容易有个“不懂事”的实习生提出反对了，你们嘲讽他不会说话，态度不好，是在自我营销。确实，在职场呆的久了，人也变得圆滑“懂事”了，自然也不会说出这样充满“傲气”的话。一个成熟的社畜，确实懂事，知道见到领导、见到董事长该怎么说话。领导就是自己的再生父母，领导的话都是对的，和领导说话必须毕恭毕敬的，小心翼翼，生怕哪句话得罪了领导。毕竟是董事长老爷，我们这些臭要饭的的态度必须低到尘埃才行。这个实习生给董事长提建议，态度竟然如此嚣张，也太不懂事了，简直大逆不道。是不是？但我也没见到哪个懂事的“商务人士”，敢带头反对酒桌文化的。觉得这个实习生不行没问题，我也觉得他可能改变不了什么。但是我希望能有更多人站出来公开反对酒桌劝酒这种文化糟粕。酒桌文化现在就是一种职场传统，成熟的商务人士，就算心里反对也只敢保持沉默，酒桌文化就这么顺利的流传了下来。他的表达方式存在不妥，但这不是他被如此群嘲攻击的理由，我仍然支持他的想法。
挟泰山以超北海,6527ef94fd81714208b94a7a6c49f893,2021-08-11 19:31:31,4,0,总不能指望你乎情商高的出头吧
书海,2c6b8717d8c05351139fbe21c53277f4,2021-08-11 16:20:47,4,0,能促成好事的结果有自我表演成分又如何一群人陷入阶级狂欢一群人拼爹失败酸溜溜
月赋情长,dd6e2e9fe1f0404d7459f0700315a7b0,2021-08-11 15:10:28,4,1,“写日记，不就是为了让人看见的吗”
知乎用户,5fbb083a637c118e2ec6a3a241516e4a,2021-08-11 14:29:28,4,0,支持，规则的边界就是靠这样一代代的“愣头青”慢慢拓宽的。不能说事情发生在隔壁就义愤填膺，发生在自己身边就“”，这样未免太双标。
匿名用户,0,2021-08-11 11:32:51,4,0,嘲笑二代的那些人你有胆子向谁反应问题阿受害者需要管二代动机还是老百姓需要管二代动机营销号需要吧喝酒的人我都很讨厌我站二代难道喝酒还能兴国还是咋滴别提什么狗屁生意需要人情需要
雕刻时光,2e89519be5dbd267bed66bd53eacbc43,2021-08-11 11:25:50,4,0,权利，从来不是别施舍的，而是自己争取的。如果别人要施舍给你权利，那么你就要警惕他想从你这里拿走什么。雕刻时光：阿里性侵事件反思，职场女性如何保护自己？
卢阿锑,cba695c1c8f3eb006806e090a2810713,2021-08-11 09:40:41,4,2,反对钱看山关于学历的回答本人香港浸会大学经济学大二在读之前在读（北京师范大学香港浸会大学联合国际学院）作为中外合作办学（北京师范大学与香港浸会大学合办）早就在全国多个省份进行一本招生，并不存在二本招生。在广东省进行综合评价招生和部分省份进行音乐招生。我不清楚为什么有人会听信一个生活短视频内容平台的话，直接认为我们是一个还没统一口径是一本还是二本的学校。希望你下次去更专业一点的平台或者去学校官网看看，不要随便一百度就开始。关于学位证与教学体系，我们是应用香港浸会大学的学术体系并且拿的是香港浸会大学的学位证（跟香港浸会大学毕业学生的学位证一样）不是什么野鸡大学。并且我们在鹅厂实习的学生也很多，请不要本着自己不想看学历的想法又在这阴阳怪气。关于实习生提出建议这件事，此人确实是我们学校的，但请不要在评价这件事上对我们学校阴阳怪气或者靠着一个短视频平台的消息直接认为是一个是还没统一口径是一本还是二本的学校。查询资料和信息要知道他的可靠性和真实性，而不是将一个错误的信息带给更多的人。我觉得这是一个有学识的人的基本素养。谢谢
BigMoyan,b09b100677c266647b48bc2fe789a36f,2021-08-12 01:47:53,5,0,尬的我脚趾头抠出一个三室一厅。如果是为了营销，还情有可原，虽然吃这个人血馒头很恶劣，但至少如果不是营销，我只能说年轻真好。不是说这个事不应该管，我是双手双脚支持公司出点实际政策切实保护女性权益的，但这事儿办的也太离谱了他有直属上级，有，有负责企业文化相关的，有内部员工公开活跃度很可以的论坛，非要找大老板，老板也还有秘书。哪怕你以腾讯员工的身份在知乎开个帖子专门讨论呢，我都认是个正常人。这哥们愣是能绕过所有的正常路径，直接跟两位老板私信。教科书般的给大家展示了什么叫视组织原则如无物。我十分想知道招他进来的人此刻的心情。也是离谱，这种私信有什么回复的必要。世界上每天都有值得关注的事情发生，腾讯大几万人，人人私信难道人人回复么？任总说得好，这种人，有病治病，没病开除。虽然人家估计也没想在鹅厂留用，但这种人能留用就有鬼了，蠢和坏他必沾一个，沾哪个都留不下来。只能说奇葩年年有，今年特别多。你猜如果腾讯真出了一个相关条例或办法，他觉得是他的功劳不？
Solar energy,45fbf14b122e443a21360bba7211b059,2021-08-12 09:34:04,3,5,看到实习生对刘炽平和的那一顿感叹号和“务必回复”四个大字，我觉得吧以后万万不能在他手下干活马化腾一分钟不回复都被他挂了，下属一分钟不回复可能会被他用开水泼脸为了深刻体会一下感叹号的效果，我特地把所有的句号都换成了感叹号
斋25603,2fd0e02c6a6f7eaef2fbccb46106d632,2021-08-11 21:06:55,3,4,如何看待酒桌文化出事之后网民纷纷义愤填膺，指责食堂里的程序员们不做人真正有人站出来说拒绝的时候，网民却纷纷开始了阴阳怪气因为一位激进的青年，站在不该站的位置上，对着高攀不起的人，说了不该说的话啧啧啧不是说他做的对，他说的话也不漂亮，甚至看起来有点缺心眼。但是挺多人面对资本家，为什么会认为跪着是正确的？
有怀,2d94bed3ddccf45ff9a9ec8c54651d9c,2021-08-11 20:48:48,3,1,你看，根本没人关注什么职场酒文化，陪酒啥的。
匿名用户,0,2021-08-11 15:01:48,3,0,今天有人问我这份工作怎么样，能不能做：我是这么回答的：
Dorminator,829f7463c05deea759bba65325c6e549,2021-08-11 14:33:12,3,0,这实习生一看就是营销老手了，通过这一波操作提升自己的存在感，想实现快速转正升职。精明的很
